channel,title,url,video_id,upload_date,duration,view_count,description_length,description,source_url,collected_at,training_category
Schmersal Reining,Chic Out My Gold,https://www.youtube.com/watch?v=QUQQDw9heaQ,QUQQDw9heaQ,20170622,2:57,784,76,3 year old mare by Pale Face Dunnit x She and Chic Dunnit dam to Boomshernic,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale Faced Whiz,https://www.youtube.com/watch?v=KGZFjpPvQ5k,KGZFjpPvQ5k,20170622,1:52,1619,53,2 year old filly by Pale Face Dunnit x Ms Maggie Whiz,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Doll With A Gun,https://www.youtube.com/watch?v=gRvEp1GuiG4,gRvEp1GuiG4,20170621,2:16,524,59,2 year old filly Tinker with Guns out of Wimpys Little Doll,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale Face Sofie,https://www.youtube.com/watch?v=BObg5kk3aPM,BObg5kk3aPM,20170619,1:27,925,80,"2015 bay filly By Pale Face Dunnit x Boomerita produce earnings over 250,000.00!",https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Hollys Final Spark,https://www.youtube.com/watch?v=ijPMqIdQvIs,ijPMqIdQvIs,20170619,2:04,513,0,,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Im That Chick,https://www.youtube.com/watch?v=HpCEcmAkJm0,HpCEcmAkJm0,20170619,2:11,652,52,2 year old filly by Wimpys Little Step x Jameen Chic,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Shes Gunna Sail,https://www.youtube.com/watch?v=G7TP-5_KhWo,G7TP-5_KhWo,20170328,3:10,935,15,Shes Gunna Sail,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Shining High  Spook 3 year old mare by Smart Spook x Shining High Roller,https://www.youtube.com/watch?v=9Kdb0K8o09g,9Kdb0K8o09g,20170320,3:54,1127,18,Shining High Spook,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Easy Details,https://www.youtube.com/watch?v=syRC24t-e4o,syRC24t-e4o,20131018,3:02,210,13,Congress 2013,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale Face Dunnit Foals,https://www.youtube.com/watch?v=EP4z7ciNyxc,EP4z7ciNyxc,20131007,3:40,1683,0,,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Come take a ride with Craig Schmersal on his futurity horse,https://www.youtube.com/watch?v=Z-p9v5CgsFo,Z-p9v5CgsFo,20130802,5:18,4974,0,,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,PFD NRBC 2013,https://www.youtube.com/watch?v=ZcqYZeNGXe8,ZcqYZeNGXe8,20130408,0:49,1932,13,PFD NRBC 2013,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale Face Dunnit Slide Show,https://www.youtube.com/watch?v=THAUyjDCI88,THAUyjDCI88,20130128,0:57,7545,48,Check out the Gold Digger babies in these photos,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale Face Dunnit Ride Along,https://www.youtube.com/watch?v=j16jjYA-akU,j16jjYA-akU,20120417,8:24,3568,0,,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale face NRBC 2012,https://www.youtube.com/watch?v=6BTMKHNL0hs,6BTMKHNL0hs,20120226,0:49,6708,26,produced by Nick Schmersal,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,PaleFace Dunnit,https://www.youtube.com/watch?v=YyhCcsXU1_A,YyhCcsXU1_A,20120112,5:24,3199,0,,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Pale Face Dunnit score 229!,https://www.youtube.com/watch?v=OO9PYZ6uy5g,OO9PYZ6uy5g,20110919,5:21,32309,243,"High Roller Reining Classic score 229! Pale Face Dunnit son of Gunner and out of the great mare Lena Dunnit. This gorgeous stallion stands in Ardmore,Oklahoma at the Hickory Creek Ranch, home of Schmersal Reining Horses. www.schmersalranch.com",https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Tack Made Simple - reining training with Craig Schmersal,https://www.youtube.com/watch?v=nmmYq5iMz4w,nmmYq5iMz4w,20110826,1:08,5817,308,"Choosing the right horse equipment can seem complicated, but it doesn't have to be. The newest video from Good As Gold Reining, ""Tack Made Simple"" by Craig Schmersal guides you through the selection and use of reining horse tack. You can buy the DVD now at the Schmersal Ranch online Store [trainingtack.com]",https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Craig schmersal,https://www.youtube.com/watch?v=0YL80Jf5Wqc,0YL80Jf5Wqc,20101003,4:50,3086,37,NBC individual world equestrian games,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Schmersal Reining,Gymnastics and Pale Face Dunnit,https://www.youtube.com/watch?v=HapQMnQ6cUE,HapQMnQ6cUE,20120501,0:41,2802,20,Trick riding lessons,https://www.youtube.com/user/SchmersalReining,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 128,https://www.youtube.com/watch?v=dcGrUlpV6WY,dcGrUlpV6WY,20260615,6:30,38,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 127 ~ Worship service at the “Iron Sharpens Iron Youth Clinic”,https://www.youtube.com/watch?v=u2vWURjzW4k,u2vWURjzW4k,20260530,35:01,271,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 126,https://www.youtube.com/watch?v=fEYrma-LDeQ,fEYrma-LDeQ,20260515,8:50,69,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 125,https://www.youtube.com/watch?v=d3e1UZrPavY,d3e1UZrPavY,20260501,8:09,53,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 124 ~ Worship Service at the NRBC,https://www.youtube.com/watch?v=G-Iv7q8Xsyk,G-Iv7q8Xsyk,20260419,39:10,92,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 123,https://www.youtube.com/watch?v=ejrnhbNDUzY,ejrnhbNDUzY,20260401,9:30,98,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
Jason Vanlandingham - Vanlandingham Reining Horses,The Eternal Ride 122,https://www.youtube.com/watch?v=x469EGmjPC0,x469EGmjPC0,20260315,9:07,83,0,,https://www.youtube.com/user/jasonvanlandingham,2026-06-17 20:41:07,
